Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date
Pts+Rebs,Cade Cunningham,24.5,OVER,0.14177978883861236,25.913270950317383,standard,1.5,01-31-2024
Pts+Rebs,Mason Plumlee,16.5,UNDER,0.14177978883861236,14.7628812789917,standard,1.5,01-31-2024
Pts+Rebs,Domantas Sabonis,31.5,OVER,0.14177978883861236,33.17417907714844,standard,1.5,01-31-2024
Pts+Asts,Max Strus,14.5,OVER,0.1588502269288956,16.176856994628906,standard,1.5,01-31-2024
Pts+Asts,Tyler Herro,22.5,OVER,0.1588502269288956,24.062271118164062,standard,1.5,01-31-2024
Pts+Asts,Jimmy Butler,26.5,UNDER,0.1588502269288956,24.808834075927734,standard,1.5,01-31-2024
Pts+Asts,Harrison Barnes,15.5,UNDER,0.1588502269288956,14.052327156066895,standard,1.5,01-31-2024
Pts+Rebs,Wendell Carter Jr.,19.5,UNDER,0.19155354449472098,17.326852798461914,standard,2.0,01-31-2024
Pts+Rebs,Rudy Gobert,28.5,UNDER,0.19155354449472098,26.555395126342773,standard,2.0,01-31-2024
Pts+Rebs,Jeremy Sochan,17.5,OVER,0.19155354449472098,19.70278549194336,standard,2.0,01-31-2024
Pts+Asts,Kevin Huerter,16.5,UNDER,0.2102874432677761,14.367212295532227,standard,2.0,01-31-2024
Pts+Asts,Keegan Murray,15.5,OVER,0.2102874432677761,17.677772521972656,standard,2.0,01-31-2024
Pts+Asts,Karl-Anthony Towns,28.5,UNDER,0.2102874432677761,26.327537536621094,standard,2.0,01-31-2024
Pts+Rebs,Donovan Mitchell,32.5,OVER,0.24132730015082957,35.17243194580078,standard,2.5,01-31-2024
Pts+Asts,James Harden,27.5,UNDER,0.26021180030257185,25.180992126464844,standard,2.5,01-31-2024
Pts+Asts,Devin Vassell,24.5,UNDER,0.26021180030257185,21.98126220703125,standard,2.5,01-31-2024
Pts+Asts,Jalen Suggs,11.5,OVER,0.3146747352496218,14.68457317352295,standard,3.0,01-31-2024
Pts+Asts,Tyus Jones,20.5,UNDER,0.3146747352496218,17.420425415039062,standard,3.0,01-31-2024
Pts+Asts,Anthony Edwards,33.5,UNDER,0.3721633888048411,30.153057098388672,standard,3.5,01-31-2024
Pts+Asts,Kawhi Leonard,30.5,UNDER,0.42208774583963693,26.396900177001953,standard,4.0,01-31-2024
Pts+Asts,Victor Wembanyama,28.5,UNDER,0.42208774583963693,24.701431274414062,standard,4.0,01-31-2024
Assists,Jordan Poole,2.5,OVER,0.4536082474226804,3.373138904571533,standard,1.0,01-31-2024
Assists,Franz Wagner,3.5,OVER,0.4536082474226804,4.273658752441406,standard,1.0,01-31-2024
Pts+Asts,Terry Rozier,20.5,OVER,0.481089258698941,24.82516860961914,standard,4.5,01-31-2024
