Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Rebs,Luguentz Dort,14.5,OVER,0.14177978883861236,15.919382095336914,01-02-2024,combo
Pts+Asts,Brandon Ingram,30.5,UNDER,0.3721633888048411,27.171945571899414,01-02-2024,combo
Pts+Rebs,Brandon Ingram,30.5,UNDER,0.24132730015082957,28.068622589111328,01-02-2024,combo
Pts+Asts,Domantas Sabonis,29.5,UNDER,0.3146747352496218,26.53723907470703,01-02-2024,combo
Pts+Rebs,Jayson Tatum,35.5,UNDER,0.19155354449472098,33.4381103515625,01-02-2024,combo
Pts+Asts,Mikal Bridges,25.5,UNDER,0.1588502269288956,23.878175735473633,01-02-2024,combo
Points,Shai Gilgeous-Alexander,32.5,UNDER,0.5816993464052288,27.048635482788086,01-02-2024,6
Pts+Rebs,Stephen Curry,32.5,UNDER,0.24132730015082957,30.107036590576172,01-02-2024,6
Pts+Asts,Shai Gilgeous-Alexander,38.5,UNDER,0.481089258698941,33.752403259277344,01-02-2024,6
Fantasy Score,Mikal Bridges,34.0,UNDER,0.2617124394184168,30.689815521240234,01-02-2024,6
Fantasy Score,Ja Morant,48.0,UNDER,0.4862681744749596,40.94020080566406,01-02-2024,6
Assists,Spencer Dinwiddie,6.5,UNDER,0.4469964664310954,5.7333526611328125,01-02-2024,6
Pts+Rebs,Jayson Tatum,35.5,UNDER,0.19155354449472098,33.4381103515625,01-02-2024,5
Pts+Asts,Domantas Sabonis,29.5,UNDER,0.3146747352496218,26.53723907470703,01-02-2024,5
Fantasy Score,Keegan Murray,27.5,UNDER,0.19224555735056542,24.841108322143555,01-02-2024,5
Pts+Rebs,Zion Williamson,31.5,UNDER,0.3257918552036199,27.992624282836914,01-02-2024,5
Points,Shai Gilgeous-Alexander,32.5,UNDER,0.5816993464052288,27.048635482788086,01-02-2024,5
Fantasy Score,Chris Paul,32.5,UNDER,0.12116316639741519,31.05230140686035,01-02-2024,4
Fantasy Score,Josh Giddey,25.0,OVER,0.19224555735056542,27.48655128479004,01-02-2024,4
Fantasy Score,Jonas Valanciunas,31.5,UNDER,0.12116316639741519,30.026531219482422,01-02-2024,4
Fantasy Score,Devin Vassell,33.5,UNDER,0.3683360258481422,28.332475662231445,01-02-2024,4
Fantasy Score,Miles Bridges,36.5,UNDER,0.2294022617124394,33.306922912597656,01-02-2024,3
Fantasy Score,Jalen Williams,28.5,OVER,0.12116316639741519,29.85239601135254,01-02-2024,3
Pts+Rebs,Keldon Johnson,25.0,UNDER,0.19155354449472098,23.220157623291016,01-02-2024,3
