Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Asts,Dereck Lively II,11.5,UNDER,0.1588502269288956,9.876134872436523,01-03-2024,combo
Pts+Asts,Ja Morant,33.5,UNDER,0.1588502269288956,32.04443359375,01-03-2024,combo
Pts+Rebs,Alperen Sengun,33.5,UNDER,0.2895927601809955,30.640060424804688,01-03-2024,combo
Pts+Rebs,Khris Middleton,23.5,UNDER,0.3257918552036199,20.025691986083984,01-03-2024,combo
Pts+Asts,Khris Middleton,25.5,UNDER,0.5658093797276853,20.21428871154785,01-03-2024,combo
Pts+Asts,RJ Barrett,18.5,OVER,0.3146747352496218,21.61451530456543,01-03-2024,combo
Pts+Rebs,Kyle Lowry,11.5,OVER,0.14177978883861236,12.852705001831055,01-03-2024,6
Pts+Rebs,Pascal Siakam,30.5,UNDER,0.14177978883861236,29.10931396484375,01-03-2024,6
Pts+Asts,James Harden,26.5,UNDER,0.1588502269288956,25.13832664489746,01-03-2024,6
Pts+Rebs,Collin Sexton,20.5,OVER,0.38763197586727,24.550537109375,01-03-2024,6
Pts+Asts,Lauri Markkanen,22.5,OVER,0.1588502269288956,23.872957229614258,01-03-2024,6
Pts+Asts,Bradley Beal,25.5,UNDER,0.680786686838124,18.45799446105957,01-03-2024,6
Pts+Asts,John Collins,12.5,OVER,0.26021180030257185,14.88500690460205,01-03-2024,5
Pts+Asts,Pascal Siakam,28.5,UNDER,0.26021180030257185,26.201650619506836,01-03-2024,5
Pts+Asts,Anthony Davis,32.5,UNDER,0.518910741301059,27.42176055908203,01-03-2024,5
Pts+Rebs,Damian Lillard,31.5,UNDER,0.2895927601809955,28.72120475769043,01-03-2024,5
Pts+Asts,James Harden,26.5,UNDER,0.1588502269288956,25.13832664489746,01-03-2024,5
Assists,Jalen Green,2.5,OVER,0.4469964664310954,3.562985897064209,01-03-2024,4
Pts+Rebs,Brook Lopez,18.5,OVER,0.14177978883861236,19.885581970214844,01-03-2024,4
Pts+Asts,RJ Barrett,18.5,OVER,0.3146747352496218,21.61451530456543,01-03-2024,4
Points,LeBron James,27.5,UNDER,0.5359477124183006,22.594411849975586,01-03-2024,4
Pts+Rebs,Lauri Markkanen,28.5,OVER,0.19155354449472098,30.663156509399414,01-03-2024,3
Pts+Rebs,John Collins,17.5,OVER,0.43288084464555054,22.20331573486328,01-03-2024,3
Pts+Asts,Simone Fontecchio,13.5,OVER,0.2102874432677761,15.566171646118164,01-03-2024,3
