Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date
Blocked Shots,Brook Lopez,3.5,UNDER,0.9651898734177216,0.6096794605255127,demon,3.0,02-13-2024
Blocked Shots,Chet Holmgren,3.5,UNDER,0.9651898734177216,0.6096794605255127,demon,3.0,02-13-2024
Blocked Shots,Kristaps Porzingis,2.5,UNDER,0.9113924050632911,0.6096794605255127,demon,2.0,02-13-2024
Rebounds,Jayson Tatum,11.5,UNDER,0.8925750394944708,7.693212509155273,demon,4.0,02-13-2024
Rebounds,Jusuf Nurkic,13.5,UNDER,0.8925750394944708,9.73835563659668,demon,4.0,02-13-2024
3-PT Made,D'Angelo Russell,4.5,UNDER,0.8662280701754386,2.7003183364868164,demon,2.0,02-13-2024
Assists,Tyler Herro,7.5,UNDER,0.8367697594501718,4.638094902038574,demon,3.0,02-13-2024
Points,Bam Adebayo,29.5,UNDER,0.8338509316770186,20.282501220703125,demon,9.0,02-13-2024
Points,Tyler Herro,29.5,UNDER,0.8043478260869565,21.148975372314453,demon,8.5,02-13-2024
Points,Jayson Tatum,34.5,UNDER,0.7841614906832298,26.47105598449707,demon,8.0,02-13-2024
Points,Mikal Bridges,29.5,UNDER,0.7841614906832298,21.4668025970459,demon,8.0,02-13-2024
Rebounds,Paolo Banchero,9.5,UNDER,0.7725118483412322,6.445934295654297,demon,3.0,02-13-2024
Rebounds,Wendell Carter Jr.,9.5,UNDER,0.7725118483412322,6.443645477294922,demon,3.0,02-13-2024
Rebounds,Anthony Davis,14.5,UNDER,0.7725118483412322,11.58431625366211,demon,3.0,02-13-2024
3-PT Made,Jayson Tatum,4.5,UNDER,0.7631578947368421,3.0617835521698,demon,1.5,02-13-2024
3-PT Made,Kevin Durant,3.5,UNDER,0.7631578947368421,2.175034284591675,demon,1.5,02-13-2024
Points,Devin Booker,34.5,UNDER,0.7484472049689441,27.134492874145508,demon,7.5,02-13-2024
Blocked Shots,Karl-Anthony Towns,1.5,UNDER,0.7468354430379747,0.6096795201301575,demon,1.0,02-13-2024
Blocked Shots,Derrick White,1.5,UNDER,0.7468354430379747,0.6096794605255127,demon,1.0,02-13-2024
Blocked Shots,Giannis Antetokounmpo,1.5,UNDER,0.7468354430379747,0.6096795201301575,demon,1.0,02-13-2024
Blocked Shots,Shai Gilgeous-Alexander,1.5,UNDER,0.7468354430379747,0.6096795201301575,demon,1.0,02-13-2024
Blocked Shots,Keegan Murray,1.5,UNDER,0.7468354430379747,0.6096794605255127,demon,1.0,02-13-2024
Points,Cam Thomas,29.5,UNDER,0.718944099378882,22.729101181030273,demon,7.0,02-13-2024
Assists,Paolo Banchero,7.5,UNDER,0.7130584192439863,5.713489532470703,demon,2.0,02-13-2024
Assists,Jrue Holiday,6.5,UNDER,0.7130584192439863,4.622795104980469,demon,2.0,02-13-2024
Assists,Mike Conley,8.5,UNDER,0.7130584192439863,6.556620121002197,demon,2.0,02-13-2024
Assists,Cade Cunningham,9.5,UNDER,0.7130584192439863,7.2658843994140625,demon,2.0,02-13-2024
Assists,Jaylen Brown,5.5,UNDER,0.7130584192439863,3.7490952014923096,demon,2.0,02-13-2024
Assists,Anfernee Simons,7.5,UNDER,0.7130584192439863,5.562698841094971,demon,2.0,02-13-2024
Assists,Anthony Edwards,7.5,UNDER,0.7130584192439863,5.5586395263671875,demon,2.0,02-13-2024
Steals,Jalen Suggs,2.5,UNDER,0.6963350785340314,1.2939172983169556,demon,1.0,02-13-2024
Points,Paolo Banchero,29.5,UNDER,0.6925465838509317,22.953155517578125,demon,6.5,02-13-2024
Rebounds,Franz Wagner,7.5,UNDER,0.6919431279620853,5.245614528656006,demon,2.5,02-13-2024
Rebounds,Kevin Durant,9.5,UNDER,0.6919431279620853,6.811704635620117,demon,2.5,02-13-2024
Rebounds,Kristaps Porzingis,9.5,UNDER,0.6919431279620853,7.086356163024902,demon,2.5,02-13-2024
Points,Jalen Duren,19.5,UNDER,0.6490683229813664,13.70221996307373,demon,6.0,02-13-2024
Points,Jaden Ivey,24.5,UNDER,0.6490683229813664,18.693010330200195,demon,6.0,02-13-2024
Points,Jalen Williams,24.5,UNDER,0.6490683229813664,18.61383819580078,demon,6.0,02-13-2024
