Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Asts,Shai Gilgeous-Alexander,37.5,UNDER,0.42208774583963693,33.69978332519531,01-23-2024,combo
Pts+Rebs,Herbert Jones,12.5,OVER,0.24132730015082957,15.041980743408203,01-23-2024,combo
Pts+Rebs,Dorian Finney-Smith,11.5,OVER,0.24132730015082957,14.048151969909668,01-23-2024,combo
Pts+Asts,Josh Giddey,14.5,OVER,0.2102874432677761,16.551984786987305,01-23-2024,combo
Pts+Asts,Kawhi Leonard,28.5,UNDER,0.26021180030257185,26.078027725219727,01-23-2024,combo
Pts+Rebs,Jerami Grant,22.5,OVER,0.2895927601809955,25.446699142456055,01-23-2024,combo
Pts+Rebs,Dorian Finney-Smith,11.5,OVER,0.24132730015082957,14.048151969909668,01-23-2024,6
Pts+Rebs,Austin Reaves,20.5,UNDER,0.24132730015082957,18.12382698059082,01-23-2024,6
Pts+Asts,Anthony Davis,31.5,UNDER,0.518910741301059,26.473573684692383,01-23-2024,6
Pts+Asts,Jalen Brunson,36.5,UNDER,0.518910741301059,31.385465621948242,01-23-2024,6
Pts+Asts,Shai Gilgeous-Alexander,37.5,UNDER,0.42208774583963693,33.69978332519531,01-23-2024,6
Pts+Rebs+Asts,Austin Reaves,26.5,UNDER,0.31722054380664655,23.222240447998047,01-23-2024,6
Pts+Rebs,Cameron Johnson,15.5,OVER,0.24132730015082957,17.88787078857422,01-23-2024,5
Pts+Rebs,Dorian Finney-Smith,11.5,OVER,0.24132730015082957,14.048151969909668,01-23-2024,5
Pts+Rebs,Zion Williamson,30.5,UNDER,0.24132730015082957,27.833885192871094,01-23-2024,5
Pts+Rebs,Jerami Grant,22.5,OVER,0.2895927601809955,25.446699142456055,01-23-2024,5
Pts+Asts,Anthony Davis,31.5,UNDER,0.518910741301059,26.473573684692383,01-23-2024,5
Pts+Asts,Shai Gilgeous-Alexander,37.5,UNDER,0.42208774583963693,33.69978332519531,01-23-2024,4
Pts+Rebs,Jerami Grant,22.5,OVER,0.2895927601809955,25.446699142456055,01-23-2024,4
Pts+Asts,Zion Williamson,29.5,UNDER,0.42208774583963693,25.653207778930664,01-23-2024,4
Pts+Asts,Josh Giddey,14.5,OVER,0.2102874432677761,16.551984786987305,01-23-2024,4
Pts+Rebs,Cameron Johnson,15.5,OVER,0.24132730015082957,17.88787078857422,01-23-2024,3
Pts+Rebs,Zion Williamson,30.5,UNDER,0.24132730015082957,27.833885192871094,01-23-2024,3
Pts+Rebs,Jerami Grant,22.5,OVER,0.2895927601809955,25.446699142456055,01-23-2024,3
