Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Rebs+Asts,Anthony Edwards,38.5,UNDER,0.22658610271903323,36.121952056884766,01-22-2024,combo
Pts+Rebs+Asts,Xavier Tillman,22.5,UNDER,0.3595166163141994,18.378631591796875,01-22-2024,combo
Pts+Asts,Giannis Antetokounmpo,39.5,UNDER,0.518910741301059,34.642982482910156,01-22-2024,combo
Pts+Rebs+Asts,Joel Embiid,53.5,UNDER,0.3595166163141994,49.59397506713867,01-22-2024,combo
Pts+Asts,Vince Williams Jr.,16.5,UNDER,0.26021180030257185,14.165094375610352,01-22-2024,combo
Pts+Asts,Gary Trent Jr.,14.5,OVER,0.26021180030257185,16.94635009765625,01-22-2024,combo
Pts+Asts,Gary Trent Jr.,14.5,OVER,0.26021180030257185,16.94635009765625,01-22-2024,6
Pts+Asts,Vince Williams Jr.,16.5,UNDER,0.26021180030257185,14.165094375610352,01-22-2024,6
Pts+Rebs,Tre Jones,14.5,OVER,0.3257918552036199,18.148832321166992,01-22-2024,6
Pts+Rebs+Asts,Jalen Suggs,16.5,OVER,0.31722054380664655,19.834449768066406,01-22-2024,6
Pts+Rebs+Asts,Dennis Schroder,17.0,OVER,0.6525679758308157,25.156330108642578,01-22-2024,6
Pts+Asts,Damian Lillard,33.5,UNDER,0.26021180030257185,30.860061645507812,01-22-2024,6
Pts+Asts,Nikola Vucevic,21.5,UNDER,0.2102874432677761,19.68073844909668,01-22-2024,5
Pts+Rebs+Asts,Jalen Johnson,30.5,UNDER,0.4078549848942598,26.090709686279297,01-22-2024,5
Pts+Rebs+Asts,Xavier Tillman,22.5,UNDER,0.3595166163141994,18.378631591796875,01-22-2024,5
Pts+Rebs,Julian Champagnie,10.5,OVER,0.24132730015082957,12.901907920837402,01-22-2024,5
Pts+Asts,Anthony Edwards,33.5,UNDER,0.3721633888048411,29.797138214111328,01-22-2024,5
Pts+Rebs,Jaden Ivey,25.5,UNDER,0.24132730015082957,23.176485061645508,01-22-2024,4
Pts+Asts,Killian Hayes,11.5,OVER,0.3146747352496218,14.628777503967285,01-22-2024,4
Pts+Asts,Vince Williams Jr.,16.5,UNDER,0.26021180030257185,14.165094375610352,01-22-2024,4
Pts+Rebs+Asts,Giannis Antetokounmpo,51.0,UNDER,0.3595166163141994,46.94156265258789,01-22-2024,4
Pts+Rebs,Dejounte Murray,29.5,UNDER,0.2895927601809955,26.474071502685547,01-22-2024,3
Pts+Rebs,Joel Embiid,47.5,UNDER,0.3257918552036199,43.83329391479492,01-22-2024,3
Pts+Asts,Bruce Brown,12.5,OVER,0.26021180030257185,14.913553237915039,01-22-2024,3
