Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Asts,Anfernee Simons,23.5,OVER,0.26021180030257185,25.854480743408203,01-24-2024,combo
Pts+Rebs,Dejounte Murray,32.5,UNDER,0.4781297134238311,27.278879165649414,01-24-2024,combo
Pts+Asts,Alperen Sengun,28.5,UNDER,0.2102874432677761,26.685218811035156,01-24-2024,combo
Pts+Rebs+Asts,Jarrett Allen,29.5,UNDER,0.22658610271903323,27.211299896240234,01-24-2024,combo
Pts+Rebs+Asts,Jerami Grant,25.5,OVER,0.22658610271903323,27.804996490478516,01-24-2024,combo
Pts+Asts,Jalen Johnson,21.5,UNDER,0.481089258698941,17.13717269897461,01-24-2024,combo
Pts+Asts,Alperen Sengun,28.5,UNDER,0.2102874432677761,26.685218811035156,01-24-2024,6
Pts+Asts,Jaren Jackson Jr.,27.5,UNDER,0.3721633888048411,24.120328903198242,01-24-2024,6
Pts+Asts,Vince Williams Jr.,16.5,UNDER,0.2102874432677761,14.613595962524414,01-24-2024,6
Pts+Rebs+Asts,Donovan Mitchell,44.5,UNDER,0.5181268882175226,38.60930252075195,01-24-2024,6
Pts+Rebs+Asts,Luka Doncic,51.5,UNDER,0.22658610271903323,49.17985534667969,01-24-2024,6
Pts+Rebs,Deandre Ayton,18.5,OVER,0.2895927601809955,21.682889938354492,01-24-2024,6
Pts+Rebs,Deandre Ayton,18.5,OVER,0.2895927601809955,21.682889938354492,01-24-2024,5
Pts+Rebs+Asts,Miles Bridges,36.5,UNDER,0.5181268882175226,30.51467514038086,01-24-2024,5
Pts+Rebs+Asts,Khris Middleton,26.5,UNDER,0.22658610271903323,24.11351776123047,01-24-2024,5
Pts+Asts,Anfernee Simons,23.5,OVER,0.26021180030257185,25.854480743408203,01-24-2024,5
Pts+Rebs+Asts,Klay Thompson,26.5,UNDER,0.2794561933534743,23.317642211914062,01-24-2024,5
Pts+Rebs+Asts,Dejounte Murray,39.5,UNDER,0.6525679758308157,31.520660400390625,01-24-2024,4
Pts+Rebs+Asts,Alperen Sengun,38.5,UNDER,0.2794561933534743,35.6255989074707,01-24-2024,4
Pts+Rebs,Anfernee Simons,22.5,OVER,0.2895927601809955,25.267349243164062,01-24-2024,4
Pts+Rebs+Asts,Luke Kennard,23.5,UNDER,0.31722054380664655,19.921981811523438,01-24-2024,4
Pts+Asts,Jarrett Allen,18.5,UNDER,0.26021180030257185,16.043508529663086,01-24-2024,3
Pts+Asts,Jaren Jackson Jr.,27.5,UNDER,0.3721633888048411,24.120328903198242,01-24-2024,3
Pts+Asts,Kevin Durant,34.5,UNDER,0.2102874432677761,32.35259246826172,01-24-2024,3
