Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Asts,Bradley Beal,24.5,UNDER,0.26021180030257185,21.774669647216797,01-26-2024,combo
Points,Zion Williamson,24.5,UNDER,0.4829192546583851,20.292417526245117,01-26-2024,combo
Points,Buddy Hield,9.5,OVER,0.4829192546583851,13.345776557922363,01-26-2024,combo
Pts+Asts,Donovan Mitchell,38.5,UNDER,0.680786686838124,31.71339225769043,01-26-2024,combo
Assists,Donovan Mitchell,5.5,OVER,0.4536082474226804,6.467030048370361,01-26-2024,combo
Assists,CJ McCollum,6.5,UNDER,0.7130584192439863,4.654181003570557,01-26-2024,combo
Fantasy Score,Isaac Okoro,16.5,OVER,0.21812596006144394,19.722314834594727,01-26-2024,6
Fantasy Score,Scottie Barnes,45.5,UNDER,0.33947772657450076,40.37984848022461,01-26-2024,6
Pts+Asts,Trae Young,37.5,UNDER,0.26021180030257185,34.754150390625,01-26-2024,6
Assists,Deandre Ayton,2.5,UNDER,0.4536082474226804,1.7015173435211182,01-26-2024,6
Assists,Alperen Sengun,6.5,UNDER,0.4536082474226804,5.606593132019043,01-26-2024,6
Assists,Giannis Antetokounmpo,8.5,UNDER,0.7130584192439863,6.737059593200684,01-26-2024,6
Assists,Shai Gilgeous-Alexander,5.5,OVER,0.4536082474226804,6.4666595458984375,01-26-2024,5
Pts+Rebs,Jarrett Allen,28.5,UNDER,0.3257918552036199,25.233322143554688,01-26-2024,5
Pts+Asts,LaMelo Ball,34.5,UNDER,0.3721633888048411,31.022098541259766,01-26-2024,5
Assists,Donovan Mitchell,8.5,UNDER,0.7130584192439863,6.467030048370361,01-26-2024,5
Pts+Rebs+Asts,Scottie Barnes,37.5,UNDER,0.2794561933534743,34.3333854675293,01-26-2024,5
Assists,Shai Gilgeous-Alexander,7.5,UNDER,0.4536082474226804,6.4666595458984375,01-26-2024,4
Pts+Rebs+Asts,Shai Gilgeous-Alexander,44.5,UNDER,0.2794561933534743,41.741641998291016,01-26-2024,4
Assists,Chet Holmgren,1.5,OVER,0.5979381443298969,2.88857364654541,01-26-2024,4
Fantasy Score,Isaac Okoro,16.5,OVER,0.21812596006144394,19.722314834594727,01-26-2024,4
Assists,Anfernee Simons,3.5,OVER,0.5979381443298969,5.193987846374512,01-26-2024,3
Points,Donovan Mitchell,30.5,UNDER,0.6149068322981367,25.06304168701172,01-26-2024,3
Pts+Rebs,James Harden,25.5,UNDER,0.2895927601809955,22.257734298706055,01-26-2024,3
