Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date,stev
Pts+Rebs+Asts,Giannis Antetokounmpo,49.5,UNDER,0.554380664652568,43.05617904663086,standard,6.5,02-12-2024,11.406120805810128
Pts+Rebs+Asts,Donte DiVincenzo,27.5,UNDER,0.45317220543806647,22.62513542175293,standard,5.0,02-12-2024,10.632954189453132
Pts+Asts,Tim Hardaway Jr.,15.5,OVER,0.8290468986384266,24.984737396240234,standard,9.5,02-12-2024,10.56251232740898
Pts+Rebs+Asts,Jalen Brunson,41.5,UNDER,0.4909365558912387,36.23921585083008,standard,5.5,02-12-2024,10.375025612623087
Pts+Rebs+Asts,Coby White,35.5,UNDER,0.5181268882175226,29.311405181884766,standard,6.0,02-12-2024,10.272025787939723
Pts+Asts,Jalen Brunson,37.5,UNDER,0.518910741301059,32.6384162902832,standard,5.0,02-12-2024,9.62564601595601
Pts+Rebs+Asts,Tyrese Maxey,37.5,UNDER,0.45317220543806647,32.428897857666016,standard,5.0,02-12-2024,9.453376511837481
Pts+Rebs+Asts,Jaren Jackson Jr.,35.5,UNDER,0.5181268882175226,29.59588050842285,standard,6.0,02-12-2024,9.402651963439796
Pts+Rebs+Asts,Jamal Murray,34.5,UNDER,0.4909365558912387,29.079050064086914,standard,5.5,02-12-2024,9.333896379413135
Pts+Rebs+Asts,Tobias Harris,30.0,UNDER,0.4909365558912387,24.547725677490234,standard,5.5,02-12-2024,9.297081636210075
Pts+Rebs+Asts,Brandon Miller,29.5,UNDER,0.45317220543806647,24.311769485473633,standard,5.0,02-12-2024,9.21324810372448
Pts+Rebs+Asts,Nikola Vucevic,37.5,UNDER,0.5181268882175226,31.322446823120117,standard,6.0,02-12-2024,8.761493486611858
Pts+Rebs+Asts,Miles Bridges,37.5,UNDER,0.4909365558912387,31.95907974243164,standard,5.5,02-12-2024,8.711921819685863
Pts+Asts,Jaren Jackson Jr.,30.5,UNDER,0.5658093797276853,24.980499267578125,standard,5.5,02-12-2024,8.633899332692895
Pts+Rebs+Asts,Brandon Ingram,36.0,UNDER,0.4909365558912387,30.483108520507812,standard,5.5,02-12-2024,8.45511197085623
Pts+Rebs+Asts,DeMar DeRozan,35.5,UNDER,0.45317220543806647,30.688499450683594,standard,5.0,02-12-2024,7.340994215937741
Pts+Rebs+Asts,Jonathan Kuminga,29.5,UNDER,0.45317220543806647,24.292177200317383,standard,5.0,02-12-2024,7.018990936468986
Pts+Rebs+Asts,Jonathan Kuminga,29.5,UNDER,0.45317220543806647,24.292177200317383,standard,5.0,02-12-2024,7.018990936468986
FG Attempted,Tobias Harris,15.0,UNDER,0.34951456310679613,13.541703224182129,standard,1.5,02-12-2024,5.0409229566934615
FG Attempted,Trae Young,18.0,OVER,0.34951456310679613,19.267906188964844,standard,1.5,02-12-2024,4.970078912569006
FG Attempted,Tyrese Maxey,20.5,UNDER,0.34951456310679613,18.961442947387695,standard,1.5,02-12-2024,4.748630456441193
FG Attempted,DeMar DeRozan,18.5,UNDER,0.459546925566343,16.656129837036133,standard,2.0,02-12-2024,4.209885658174335
