Player,Category,CORRECT,DISCOUNTED,INCORRECT
Jordan Poole,Pts+Asts,1.0,0.0,0.0
Jordan Poole,Pts+Rebs+Asts,1.0,0.0,0.0
Kawhi Leonard,FG Attempted,1.0,0.0,1.0
Kawhi Leonard,Pts+Asts,3.0,0.0,1.0
Kawhi Leonard,Pts+Rebs+Asts,3.0,0.0,3.0
Keldon Johnson,Pts+Asts,0.0,0.0,1.0
Kelly Oubre Jr.,Pts+Asts,1.0,0.0,0.0
Kelly Oubre Jr.,Pts+Rebs+Asts,1.0,0.0,0.0
Kevin Durant,FG Attempted,1.0,0.0,1.0
Kevin Huerter,Pts+Rebs+Asts,1.0,0.0,0.0
Khris Middleton,Assists,1.0,0.0,0.0
Khris Middleton,Pts+Asts,0.0,0.0,3.0
Khris Middleton,Pts+Rebs+Asts,1.0,0.0,2.0
Klay Thompson,FG Attempted,0.0,0.0,1.0
Klay Thompson,Pts+Rebs+Asts,1.0,0.0,0.0
Kyle Kuzma,FG Attempted,1.0,0.0,0.0
Kyle Kuzma,Pts+Rebs+Asts,1.0,0.0,0.0
Kyrie Irving,Assists,1.0,0.0,0.0
Kyrie Irving,Pts+Asts,2.0,0.0,2.0
Kyrie Irving,Pts+Rebs+Asts,1.0,0.0,1.0
LaMelo Ball,FG Attempted,1.0,0.0,0.0
LaMelo Ball,Pts+Rebs+Asts,2.0,0.0,0.0
Lauri Markkanen,Pts+Rebs+Asts,0.0,0.0,1.0
LeBron James,FG Attempted,1.0,0.0,0.0
LeBron James,Pts+Asts,1.0,0.0,1.0
LeBron James,Pts+Rebs+Asts,3.0,0.0,1.0
Luguentz Dort,Pts+Rebs+Asts,1.0,0.0,0.0
Luka Doncic,Assists,1.0,0.0,0.0
Luka Doncic,FG Attempted,2.0,0.0,0.0
Luka Doncic,Pts+Asts,1.0,0.0,3.0
Luka Doncic,Pts+Rebs+Asts,2.0,0.0,1.0
Malcolm Brogdon,Pts+Asts,0.0,0.0,1.0
Mikal Bridges,FG Attempted,2.0,0.0,0.0
Mikal Bridges,Pts+Rebs+Asts,1.0,0.0,0.0
Miles Bridges,FG Attempted,1.0,0.0,0.0
Miles Bridges,Pts+Asts,4.0,0.0,0.0
Miles Bridges,Pts+Rebs+Asts,2.0,0.0,2.0
Nick Richards,Pts+Rebs+Asts,1.0,0.0,0.0
Nikola Jokic,FG Attempted,0.0,0.0,1.0
Nikola Vucevic,Pts+Rebs+Asts,0.0,0.0,2.0
Paolo Banchero,FG Attempted,0.0,0.0,1.0
Paolo Banchero,Pts+Asts,1.0,0.0,0.0
Paolo Banchero,Pts+Rebs+Asts,2.0,0.0,1.0
Paul George,Assists,1.0,0.0,0.0
Reggie Jackson,Pts+Asts,1.0,0.0,1.0
Saddiq Bey,Pts+Rebs+Asts,1.0,0.0,0.0
Scottie Barnes,FG Attempted,1.0,0.0,0.0
Scottie Barnes,Pts+Rebs+Asts,2.0,0.0,0.0
Shai Gilgeous-Alexander,FG Attempted,1.0,0.0,1.0
Shai Gilgeous-Alexander,Pts+Asts,6.0,0.0,1.0
Shai Gilgeous-Alexander,Pts+Rebs+Asts,7.0,0.0,1.0
Stephen Curry,Assists,1.0,0.0,0.0
Stephen Curry,FG Attempted,0.0,1.0,0.0
Stephen Curry,Pts+Asts,1.0,0.0,0.0
Stephen Curry,Pts+Rebs+Asts,2.0,0.0,4.0
Terry Rozier,Assists,2.0,0.0,0.0
Terry Rozier,FG Attempted,1.0,0.0,1.0
Terry Rozier,Pts+Asts,0.0,0.0,2.0
Terry Rozier,Pts+Rebs+Asts,0.0,0.0,2.0
Tobias Harris,Assists,1.0,0.0,0.0
Tobias Harris,Pts+Asts,3.0,0.0,2.0
Tobias Harris,Pts+Rebs+Asts,1.0,0.0,2.0
Trae Young,Pts+Asts,0.0,0.0,1.0
Trae Young,Pts+Rebs+Asts,0.0,0.0,1.0
Tyler Herro,Pts+Rebs+Asts,1.0,0.0,0.0
Tyrese Haliburton,Assists,3.0,0.0,0.0
Tyrese Haliburton,Pts+Asts,1.0,0.0,0.0
Tyrese Haliburton,Pts+Rebs+Asts,0.0,0.0,1.0
Tyrese Maxey,Assists,1.0,0.0,0.0
Tyrese Maxey,Pts+Asts,5.0,0.0,1.0
Tyrese Maxey,Pts+Rebs+Asts,3.0,0.0,0.0
Tyus Jones,Assists,1.0,0.0,2.0
Tyus Jones,Pts+Asts,1.0,0.0,0.0
Tyus Jones,Pts+Rebs+Asts,1.0,0.0,0.0
Victor Wembanyama,FG Attempted,1.0,0.0,0.0
Victor Wembanyama,Pts+Asts,1.0,0.0,0.0
Victor Wembanyama,Pts+Rebs+Asts,1.0,0.0,0.0
Wendell Carter Jr.,Pts+Rebs+Asts,2.0,0.0,1.0
Xavier Tillman,Assists,1.0,0.0,0.0
Zach Collins,Pts+Asts,1.0,0.0,0.0
Zach Collins,Pts+Rebs+Asts,1.0,0.0,0.0
Zion Williamson,Pts+Rebs+Asts,3.0,0.0,0.0
